State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,APC,LP,PDP,NNPP
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-003,"ANG. PRY. SCHOOL, ALARERE",174,724,7,0,165,0
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-004,COURT HALL ITAPA,249,815,6,0,238,0
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-005,"MATERNITY CENTRE, ILORO",196,673,81,0,113,0
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-006,OPEN SPACE TEMIDIRE I,170,628,7,0,157,0
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-007,"OPEN SPACE, TEMIDIRE II",171,554,4,0,162,0
OSUN,ATAKUMOSA EAST,AYEGUNLE,29-01-06-002,"L.A. PRY. SCHOOL, AJIDO",221,667,71,0,144,0
OSUN,ATAKUMOSA EAST,AYEGUNLE,29-01-06-004,C.A.C. PRY. SCHOOL AKANNI,84,379,3,0,78,0
OSUN,ATAKUMOSA EAST,AYEGUNLE,29-01-06-006,ITAMERIN,95,400,29,0,60,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-003,SOKOTO I,213,591,80,2,130,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-005,SOKOTO S.B OJO,143,312,68,0,75,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-006,SOKOTO S.B OJO,143,312,155,3,102,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-007,OWADA,70,170,34,1,34,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-002,GRAMMAR SCHOOL ALAKA,252,619,153,0,95,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-003,L.A. SCHOOL LABOSIPO,215,579,122,0,92,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-004,TIMOLAJA AROWOJOBE,235,607,76,0,151,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-005,L.A. SCHOOL AREWA,131,319,56,1,72,0
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-004,AGBON JEGEDE,157,589,3,0,149,0
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-005,"SURAJU PRY. SCHOOL, ERINSEBIJA",109,380,4,0,103,1
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-006,COMM. PRY. SCHOOL OMI-ODO,88,229,7,0,80,0
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-008,EHIN-OKE,77,208,5,0,72,0
OSUN,ATAKUMOSA EAST,AJEBANDELE,29-01-10-002,"ST. JOHN'S PRY SCHOOL, ERINBURO",173,602,6,2,165,0
OSUN,ATAKUMOSA EAST,AJEBANDELE,29-01-10-003,L.A. PRY SCHOOL AYINRIN ADEDEJI I,140,552,13,0,127,0
OSUN,ATAKUMOSA EAST,AJEBANDELE,29-01-10-004,OPEN SPACE OLOWORU OWODE,75,315,8,0,65,0
OSUN,ATAKUMOSA EAST,AJEBANDELE,29-01-10-005,"EMMAN. PRY. SCHOOL, LAPAEDE",167,550,3,1,162,0
OSUN,ATAKUMOSA EAST,AJEBANDELE,29-01-10-007,L.A. PRY SCHOOL ATORIN,154,464,2,30,122,0
OSUN,ATAKUMOSA WEST,OSU I,29-02-01-001,"METHODIST PRIMARY SCHOOL, OKE OJA - OSU",339,956,121,9,204,0
OSUN,ATAKUMOSA WEST,OSU I,29-02-01-004,"ATAKUNMOSA HIGH SCHOOL, OSU",315,997,125,33,147,0
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-001,"APOSTOLIC PRY SCHOOL, IWARO",176,539,94,0,72,0
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-002,"PRY SCHOOL, ILOBA",179,520,59,0,107,0
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-004,"PRY SCHOOL, ALAKOWE",115,356,59,3,45,0
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-006,ODESOMI VILLAGE,134,304,79,0,54,0
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-008,"R.C.M. PRY. SCHOOL, KAJOLA",78,190,68,0,67,0
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-009,"COMM. PRY. SCHOOL, ASAOBI",134,278,20,0,112,0
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-010,BALOGUN VILLAGE,119,312,75,2,37,0
OSUN,ATAKUMOSA WEST,OSU  III,29-02-03-001,"METHODIST PRY. SCHOOL, OKEOMI, OSU",296,836,122,18,150,0
OSUN,ATAKUMOSA WEST,OSU  III,29-02-03-002,"METHODIST PRY. SCHOOL, OSU",180,624,69,66,105,0
OSUN,ATAKUMOSA WEST,OSU  III,29-02-03-003,"L.A. PRY. SCHOOL, ILOWO ST. OSU",299,857,129,14,141,0
OSUN,ATAKUMOSA WEST,OSU  III,29-02-03-004,"PRY. SCHOOL, ITAMERIN",138,506,31,3,89,0
OSUN,ATAKUMOSA WEST,OSU  III,29-02-03-005,"COMM. GRAMMAR SCHOOL, AJIDO, OSU",284,776,102,9,172,0
OSUN,ATAKUMOSA WEST,IBODI,29-02-04-003,IGILA VILLAGE,100,256,28,2,69,0
OSUN,ATAKUMOSA WEST,IBODI,29-02-04-004,IYERE VILLAGE,209,482,62,6,140,0
OSUN,ATAKUMOSA WEST,IBODI,29-02-04-006,ILOTIN VILLAGE,141,293,54,3,81,0
OSUN,ATAKUMOSA WEST,IFELODUN,29-02-05-001,EPE VILLAGE,184,676,2,1,179,0
OSUN,ATAKUMOSA WEST,IFELODUN,29-02-05-003,ODO IJU VILLAGE,106,387,11,2,83,0
OSUN,ATAKUMOSA WEST,IFELODUN,29-02-05-004,IYEMOGUN VILLAGE,202,517,32,1,167,0
OSUN,ATAKUMOSA WEST,IFELODUN,29-02-05-005,"METHODIST PRY. SCHOOL, IGUN",38,381,1,1,1,0
OSUN,ATAKUMOSA WEST,ITAGUNMODI,29-02-06-001,"TOWN HALL, ITAGUNMODI  I",257,654,50,4,107,1
OSUN,ATAKUMOSA WEST,ITAGUNMODI,29-02-06-003,ALABA/OWENA VILLAGE (OPEN SPACE) ,219,673,61,4,136,1
OSUN,ATAKUMOSA WEST,ITAGUNMODI,29-02-06-004,ARAROMI VILLAGE,187,518,0,0,0,0
OSUN,ATAKUMOSA WEST,ITAGUNMODI,29-02-06-006,ARIGBABU VILLAGE (OPEN SPACE) ,129,326,54,0,15,0
OSUN,ATAKUMOSA WEST,ITAGUNMODI,29-02-06-005,OKE IPA VILLAGE (OPEN SPACE) ,152,416,33,4,105,1
OSUN,ATAKUMOSA WEST,ITAGUNMODI,29-02-06-002,"TOWN HALL, ITAGUNMODI II",131,346,53,3,54,0
OSUN,ATAKUMOSA WEST,OKE BODE,29-02-07-001,OJU OJA OKEBODE,256,622,80,11,153,0
OSUN,ATAKUMOSA WEST,OKE BODE,29-02-07-002,"ST. JOHN PRY. SCHOOL, OKE-BODE",218,498,65,8,128,0
OSUN,ATAKUMOSA WEST,OKE BODE,29-02-07-003,ABEBEYUN/ISEDO PRY. SCHOL,173,461,4,0,1,0
OSUN,ATAKUMOSA WEST,OKE BODE,29-02-07-005,"L.A. PRY. SCHOOL, KAJOLA",412,924,187,14,182,0
OSUN,ATAKUMOSA WEST,OKE BODE,29-02-07-006,ARAROMI KAJOLA,301,716,183,16,81,0
OSUN,ATAKUMOSA WEST,OKE BODE,29-02-07-007,LAALA VILLAGE,163,348,30,5,112,0
OSUN,ATAKUMOSA WEST,OKE BODE,29-02-07-010,"MATERNITY CENTRE, OSUNJELA",302,845,176,10,101,0
OSUN,ATAKUMOSA WEST,ISA OBI,29-02-08-001,"ISAOBI PRY. SCHOOL,",183,491,82,3,91,0
OSUN,ATAKUMOSA WEST,ISA OBI,29-02-08-003,RISAWE VILLAGE,236,628,110,6,108,0
OSUN,ATAKUMOSA WEST,MUROKO,29-02-09-002,"ST. JAMES PRY. SCHOOL, ILAA",191,545,116,2,66,0
OSUN,ATAKUMOSA WEST,MUROKO,29-02-09-004,ILOYA VILLAGE,116,318,45,3,60,0
OSUN,ATAKUMOSA WEST,MUROKO,29-02-09-005,IPOYE VILLAGE,95,269,34,0,57,0
OSUN,ATAKUMOSA WEST,MUROKO,29-02-09-006,ESIRA VILLAGE,102,182,81,0,20,0
OSUN,ATAKUMOSA WEST,IFEWARA  I,29-02-10-001,"TOWN HALL, IFEWARA",273,836,127,3,140,0
OSUN,ATAKUMOSA WEST,IFEWARA  I,29-02-10-002,OGOGODOJA VILLAGE,120,315,40,3,77,0
OSUN,ATAKUMOSA WEST,IFEWARA  I,29-02-10-003,AGBABIAKA VILLAGE,88,203,46,1,25,0
OSUN,ATAKUMOSA WEST,IFEWARA  I,29-02-10-004,"N. U. D. PRY. SCHOOL, IFEWARA",252,758,97,6,147,1
OSUN,ATAKUMOSA WEST,IFEWARA  II,29-02-11-001,"ST. DOMINIC PRY. SCHOOL, IFEWARA",188,505,90,5,81,0
OSUN,ATAKUMOSA WEST,IFEWARA  II,29-02-11-002,IFEWARA HIGH SCHOOL I,222,562,80,4,114,0
OSUN,ATAKUMOSA WEST,IFEWARA  II,29-02-11-003,IFEWARA HIGH SCHOOL II,180,542,67,9,94,0
OSUN,ATAKUMOSA WEST,IFEWARA  II,29-02-11-004,ABA ORUNTO,79,239,50,1,26,0
OSUN,ATAKUMOSA WEST,IFEWARA  II,29-02-11-005,MATERNITY IFEWARA,259,864,91,6,160,0
OSUN,AYEDAADE,BALOGUN,29-03-01-001,"ILE ASORO, OPP. CUSTOMARY COURT, GBONGAN",311,825,169,6,131,0
OSUN,AYEDAADE,BALOGUN,29-03-01-002,"OLUFI MEMORIAL PRY. SCHOL, OPP. S.S.S. OFFICE, GBONGAN",330,804,192,3,117,0
OSUN,AYEDAADE,BALOGUN,29-03-01-003,"ST. PATRICK'S GRAMM. SCHOOL, I ADENUGA AREA, GBONGAN",329,861,167,4,150,0
OSUN,AYEDAADE,BALOGUN,29-03-01-004,"ST. PATRICK'S GRAMMAR SCHOOL, II ADENUGA AREA, GBONGAN",393,990,168,5,200,0
OSUN,AYEDAADE,BALOGUN,29-03-01-005,"MOLUBERIN JUNCTION, NEW ROAD AREA, GBONGAN",279,710,177,0,97,0
OSUN,AYEDAADE,BALOGUN,29-03-01-006,"COMMUNITY HALL, OKE OJE AREA, GBONGAN",331,776,197,3,123,0
OSUN,AYEDAADE,OTUN BALOGUN,29-03-02-002,"ST. PETER'S PRY. SCHOOL II, OKE APATA GBONGAN",268,753,183,2,116,0
OSUN,AYEDAADE,OTUN BALOGUN,29-03-02-003,"COMMUNITY HALL OKE OLA AREA, GBONGAN",341,949,221,4,104,0
OSUN,AYEDAADE,OTUN BALOGUN,29-03-02-004,"ILE OLOJIN ILE OLOJIN AREA, GBONGAN",326,826,163,9,138,0
OSUN,AYEDAADE,OTUN BALOGUN,29-03-02-005,"OKE RORUN, OBADA AREA, GBONGAN",276,750,172,6,87,0
OSUN,AYEDAADE,OTUN BALOGUN,29-03-02-006,"ILE MOYEGUN, OBADA AREA, GBONGAN",324,750,157,8,145,0
OSUN,AYEDAADE,OLUFI,29-03-03-002,"OBADOORE CUSTOMARY COURT, GBONGAN",201,468,82,3,83,0
OSUN,AYEDAADE,OLUFI,29-03-03-006,"ILE AKANTI / OJUDE ASEDA, AKANTI COMP. GBONGAN",328,785,170,4,149,0
OSUN,AYEDAADE,OLUFI,29-03-03-007,"OKE IRORUN JUNCTION, AJEGUNLE AREA",361,906,177,9,109,0
OSUN,AYEDAADE,OTUN-OLUFI,29-03-04-002,"MATERNITY AJEGUNLE, OKE ELU AREA, GBONGAN I",136,307,64,8,52,0
OSUN,AYEDAADE,OTUN-OLUFI,29-03-04-005,"ST. PAUL'S PRY. SCHOOL, OKE CHURCH AREA, GBONGAN II",267,648,153,5,83,0
OSUN,AYEDAADE,OTUN-OLUFI,29-03-04-008,"E.D.C. SCHOOL, ARAROMI, ADENUGA AREA, GBONGAN",353,850,206,5,132,1
OSUN,AYEDAADE,OTUN-OLUFI,29-03-04-009,"ST. MARTIN'S PRY SCHOOL, IWO ROAD, GBONGAN",318,750,168,11,129,0
OSUN,AYEDAADE,OTUN-OLUFI,29-03-04-010,"PALACE ROAD, ONIDELE, OKE OFA AREA, GBONGAN",353,716,166,0,154,0
OSUN,AYEDAADE,OTUN-OLUFI,29-03-04-011,"ABEKOKO, ABEKOKO AREA, GBONGAN",361,947,213,3,130,0
OSUN,AYEDAADE,OTUN-OLUFI,29-03-04-012,"ABEKOKO, ABEKOKO AREA, GBONGAN",361,947,126,1,108,0
OSUN,AYEDAADE,IJEGBE/OKE-ESO/OKE-OWU IJUGBE,29-03-05-003,"D.C. SCHOOL, OKE ESO, OKE ESO, AREA ODE OMU",287,605,81,5,201,0
OSUN,AYEDAADE,IJEGBE/OKE-ESO/OKE-OWU IJUGBE,29-03-05-004,"D.C. SCHOOL, OKE ESO, OKE ESO AREA ODEOMU",152,350,41,1,103,0
OSUN,AYEDAADE,IJEGBE/OKE-ESO/OKE-OWU IJUGBE,29-03-05-005,"IGBIRA ISALE AREA, IGBIRA VILLAGE ODE OMU",88,191,27,1,59,0
OSUN,AYEDAADE,IJEGBE/OKE-ESO/OKE-OWU IJUGBE,29-03-05-008,"OKE-OWU HALL I, OKE OWU AREA ODEOMU",178,460,77,3,85,0
OSUN,AYEDAADE,IJEGBE/OKE-ESO/OKE-OWU IJUGBE,29-03-05-011,"ILE OSO ARO AREA, ILE OSO ARO, ODE OMU",206,474,91,3,108,0
OSUN,AYEDAADE,IJEGBE/OKE-ESO/OKE-OWU IJUGBE,29-03-05-013,"KETU AREA, KETU AREA ODE OMU",258,521,83,2,165,0
OSUN,AYEDAADE,IJEGBE/OKE-ESO/OKE-OWU IJUGBE,29-03-05-014,"OLUSEYI HALL, FAJOB'S COMP. ODE-OMU",204,496,84,0,107,0
OSUN,AYEDAADE,IJEGBE/OKE-ESO/OKE-OWU IJUGBE,29-03-05-015,"ORONA AREA, ORONA COMP. ODE OMU",317,656,80,1,225,0
OSUN,AYEDAADE,IJEGBE/OKE-ESO/OKE-OWU IJUGBE,29-03-05-016,"IGBIRA OKE AREA, IGBIRA VILLAGE ODEOMU",251,575,92,5,151,0
OSUN,AYEDAADE,IJEGBE/OKE-ESO/OKE-OWU IJUGBE,29-03-05-017,"BARA OLUEJU, COMP. ODE OMU",299,683,96,1,176,0
OSUN,AYEDAADE,LAGERE/AMOLA,29-03-06-001,"ST. PIUS, AMOLA AREA, ODE OMU",239,526,90,2,145,0
OSUN,AYEDAADE,LAGERE/AMOLA,29-03-06-004,"ST. MICHAEL GRAMMAR SCHOOL, OBADA AREA, ODE OMU",299,693,150,5,138,0
OSUN,AYEDAADE,LAGERE/AMOLA,29-03-06-005,"A.U.D. PRY. SCHOOL, OKE ODO LAGERE AREA, ODE OMU",175,436,62,1,108,0
OSUN,AYEDAADE,LAGERE/AMOLA,29-03-06-006,"THE APOSTOLIC SCHOOL, IDI ASA'S COMP. ODEOMU",267,576,105,1,146,0
OSUN,AYEDAADE,LAGERE/AMOLA,29-03-06-007,"ST. DAVID.S PRIMARY SCHOOL, OBADA AREA, ODEOMU",327,787,129,7,178,0
OSUN,AYEDAADE,LAGERE/AMOLA,29-03-06-008,"IDIOSE, ILE OKE ODE OMU",247,609,118,0,122,0
OSUN,AYEDAADE,LAGERE/AMOLA,29-03-06-010,"ALAGBAA, ILE ALAGBAA ODE OMU",206,412,68,2,131,0
OSUN,AYEDAADE,LAGERE/AMOLA,29-03-06-011,"LEWERE I, LEWERE COMP. ODEOMU",258,551,141,1,111,0
OSUN,AYEDAADE,LAGERE/AMOLA,29-03-06-013,"DISPENSARY, ILE IDI ASA, ODE OMU",205,449,90,2,105,0
OSUN,AYEDAADE,LAGERE/AMOLA,29-03-06-014,"ONILE AREA, ILE ONILE ARAN, ODEOMU",222,444,119,1,90,0
OSUN,AYEDAADE,LAGERE/AMOLA,29-03-06-015,"OLUWO JUNCTION ILE OLUWO, ODEOMU",166,393,72,1,91,0
OSUN,AYEDAADE,LAGERE/AMOLA,29-03-06-016,"ONITOKUN AREA, ONITOKUN COMP. ODEOMU",204,440,68,2,131,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-001,D.C. AKOWIDE AKOWIDE VILLAGE,157,268,87,0,66,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-002,OGBAAGBA OGBAAGBA VILLAGE,136,355,0,0,0,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-003,WAKAJAIYE I,211,553,83,3,109,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-005,"OLOBA VILLAGE, OLOBA VILLAGE",106,248,76,2,4,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-007,"MOJAPA, MOJAPA VILLAGE",112,290,74,0,34,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-008,"AKIRIBOTO I. ST. PETER'S, AKIRIBOTO  I",139,345,0,0,0,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-009,"AKIRIBOTO II, ST. DAVID'S, AKIRIBOTO II",212,543,67,5,131,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-010,"AKIRIBOTO  III, ST. DAVID'S AKIRIBOTO III",86,284,26,2,54,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-011,"AKIRIBOTO ALABE, AKIRIBOTO VILLAGE",47,113,30,0,16,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-012,"OLUWADA, OLUWADA VILLAGE",88,247,44,1,38,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-013,ALAGBEDE VILLAGE,109,262,74,2,33,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-014,BEMBE VILLAGE,121,279,85,0,35,0
OSUN,AYEDAADE,GBONGAN RURAL,29-03-07-015,AKINJEPO VILLAGE,96,266,0,0,0,0
OSUN,AYEDAADE,ODE-OMU RURAL,29-03-08-001,"KAJE ONISANGO, KAJE ONISANGO VILLAGE",187,373,96,1,62,0
OSUN,AYEDAADE,ODE-OMU RURAL,29-03-08-002,"D.C. SCHOOL, LASOLEI, LASOLE VILLAGE",167,400,70,0,1,0
OSUN,AYEDAADE,ODE-OMU RURAL,29-03-08-003,"D.C. SCHOOL, LASOLE  II, LASOLE VILLAGE",137,249,57,0,76,0
OSUN,AYEDAADE,ODE-OMU RURAL,29-03-08-004,"C.A.C. AYETORO, TONKERE VILAGE",233,579,90,0,138,0
OSUN,AYEDAADE,ODE-OMU RURAL,29-03-08-005,"COURT HALL TONKERE, TONKERE TOWN",202,403,78,5,116,0
OSUN,AYEDAADE,ODE-OMU RURAL,29-03-08-006,"ST. JAME'S TONKERE, TONKERE TOWN",201,426,81,1,107,0
OSUN,AYEDAADE,ODE-OMU RURAL,29-03-08-007,"ST. STEPHEN OOGI, OOGI TOWN",209,594,71,3,134,0
OSUN,AYEDAADE,ODE-OMU RURAL,29-03-08-008,"ST. MATTHEW'S EJEMU, EJEMU VILLAGE",90,210,35,0,51,0
OSUN,AYEDAADE,ODE-OMU RURAL,29-03-08-009,"OJUDO VILLAGE, OJUDO VILLAGE",96,202,28,0,66,0
OSUN,AYEDAADE,ODE-OMU RURAL,29-03-08-011,"ALAGBEDE BAALE VILLAGE, ALAGBEDE VILLAGE",100,242,70,0,30,0
OSUN,AYEDAADE,OBALUFON,29-03-09-001,"ST. LUKE'S SCHOOL I, OKE ESO ORILE OWU",231,441,115,4,97,0
OSUN,AYEDAADE,OBALUFON,29-03-09-004,"GBEKE HALL, GBEKE AREA, ORILE OWU",277,637,95,1,178,0
OSUN,AYEDAADE,OBALUFON,29-03-09-005,"GBEKE HALL, GBEKE VILLAGE",128,335,55,3,67,0
OSUN,AYEDAADE,OBALUFON,29-03-09-006,"FOWOSERE, FOWOSERE VILLAGE",112,373,46,25,32,1
OSUN,AYEDAADE,OBALUFON,29-03-09-009,"ATOBA VILLAGE, ATOBA VILLAGE",35,107,18,1,14,0
OSUN,AYEDAADE,OBALUFON,29-03-09-010,"ABEWELA VILLAGE, ABEWELA VILLAGE",174,381,58,2,114,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-001,"GBOGBO VILLAGE, GBOGBO VILLAGE, ORILE OWU",200,389,75,1,113,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-002,"OLUWO COMPD. OLUWO COMPD, ORILE OWU",209,518,102,2,98,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-003,"FARM SETTLEMENT, FARM SETTLEMENT, ORILEOWU",220,755,117,9,83,1
OSUN,AYEDAADE,ANLUGBUA,29-03-10-004,"SABO I, SABO AREA",185,526,112,0,60,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-005,"SABO II, SABO AREA",90,228,61,0,23,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-007,"ST. PETER'S SCHOOL, OKE OLA ORILE OWU",138,350,72,1,61,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-008,"COURT HALL, OJUOJA, ORILE OWU",95,202,37,2,0,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-009,"COURT HALL, OJU OJA, ORILE OWU",105,292,47,0,56,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-011,"BAPT. PRY. SCHOOL, APENA AREA, ORILE OWU",162,431,66,0,82,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-012,"MOTAKO 1, MOTAKO VILLAGE",66,218,38,0,26,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-013,"MOTAKO II, MOTAKO VILLAGE",18,86,7,0,10,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-014,"OPE AYOOLA, OPE AYOOLA VILLAGE",35,112,21,1,9,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-015,"GBONA, GBONNA VILLAGE",219,478,83,1,130,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-016,"ABIMBOLA VILLAGE, ABIMBOLA VILLAGE",134,298,77,0,57,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-018,"ALAGBEDE, ALAGBEDE VILLAGE",55,173,29,1,24,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-019,COMMUNITY PRY. SCHOOL ALABAMETA,146,427,101,0,45,0
OSUN,AYEDAADE,ANLUGBUA,29-03-10-020,"ALAGUNTAN, ALAGUNTAN VILLAGE",67,303,58,2,7,0
OSUN,AYEDAADE,ARAROMI-OWU,29-03-11-002,ARAROMI OWU II TOWN,214,530,82,0,123,0
OSUN,AYEDAADE,ARAROMI-OWU,29-03-11-003,ARAROMI OWU MARKET,284,750,143,0,112,0
OSUN,AYEDAADE,ARAROMI-OWU,29-03-11-004,"SANGODIRAN, SANGODIRAN VILLAGE",118,302,53,0,59,0
OSUN,AYEDAADE,ARAROMI-OWU,29-03-11-005,"IDI IROKO, IDI IROKO VILLAGE",211,516,106,1,103,0
OSUN,AYEDAADE,ARAROMI-OWU,29-03-11-007,"AJEGUNLE, AJEGUNLE VILLAGE",239,515,145,1,84,0
OSUN,AYEDIRE,OLUPONNA  1,29-04-01-002,"D.C. SCHOOL, ADENLERE, ADENLERE",236,565,102,4,126,0
OSUN,AYEDIRE,OLUPONNA  1,29-04-01-003,"METHODIST PRY. SCHOOL, IWO RAILWAY STATION",249,666,143,2,101,0
OSUN,AYEDIRE,OLUPONNA  1,29-04-01-004,OLUPONNA TOWN HALL I,371,945,148,13,204,0
OSUN,AYEDIRE,OLUPONNA  1,29-04-01-005,OLUPONNA TOWN HALL II,263,739,91,12,157,0
OSUN,AYEDIRE,OLUPONNA  1I,29-04-02-001,"D.C. SCHOOL, OLUPONNA",302,750,136,14,148,0
OSUN,AYEDIRE,OLUPONNA  1I,29-04-02-002,"BAPTIST SCHOOL, OLUPONNA",342,750,157,4,180,0
OSUN,AYEDIRE,OLUPONNA  1I,29-04-02-003,OJISUN OPEN SPACE,401,908,161,2,225,0
OSUN,AYEDIRE,OLUPONNA  1I,29-04-02-004,ODE OTE/EJEMU MARKET,152,386,78,0,70,0
OSUN,AYEDIRE,OLUPONNA  1II,29-04-03-001,ARAROMI MARKET I,397,823,157,6,232,0
OSUN,AYEDIRE,OLUPONNA  1II,29-04-03-002,ARAROMI MARKET II,384,856,161,2,197,0
OSUN,AYEDIRE,OLUPONNA  1II,29-04-03-004,"SAINT JOHN'S SCHOOL, WAASINMI",211,433,87,0,119,0
OSUN,AYEDIRE,OLUPONNA  1II,29-04-03-005,"D.C. SCHOOL, OLORI/ODUWO",222,464,128,0,90,0
OSUN,AYEDIRE,OKE-OSUN,29-04-04-001,"CHRIST ANGLICAN SCHOOL, ELESIN",307,660,145,0,157,0
OSUN,AYEDIRE,OKE-OSUN,29-04-04-002,IYANA IKIRE OPEN SPACE,203,440,81,0,115,0
